"STYLE#    ","COLOR                                             ","GROUP ALIKE","OOO       ","OO        ","0         ","2         ","4         ","6         ","8         ","10        ","12        ","14        ","16        ","18        ","20        ","22        ","24        ","26        ","28        ","30        ","32        ","LIST PRICE","ORIG LIST PRICE","SEASON","CURR SEASON"
"234       ","PINE                                              ","ST         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"235       ","EVERGLADE                                         ","ME         ","0         ","0         ","1         ","1         ","0         ","1         ","1         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","120.00    ","120.00         ","S24   ","S24        "
"235       ","MIDNIGHT                                          ","ME         ","0         ","0         ","0         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","120.00    ","120.00         ","S24   ","S24        "
"238       ","SILVER                                            ","ST         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","79.50     ","79.50          ","S24   ","S24        "
"238       ","MIDNIGHT                                          ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","79.50     ","79.50          ","S24   ","S24        "
"239       ","NAVY                                              ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"240       ","FUCHSIA                                           ","ST         ","0         ","0         ","1         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","59.50     ","59.50          ","S24   ","S24        "
"240       ","LILAC                                             ","ST         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","59.50     ","59.50          ","S24   ","S24        "
"240       ","NAVY                                              ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","59.50     ","59.50          ","S24   ","S24        "
"240       ","PURPLE                                            ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","59.50     ","59.50          ","S24   ","S24        "
"240       ","PINK                                              ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","59.50     ","59.50          ","S24   ","S24        "
"242       ","BLACK                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","79.50     ","79.50          ","S24   ","S24        "
"242       ","PINE                                              ","ST         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","79.50     ","79.50          ","S24   ","S24        "
"243       ","PURPLE                                            ","ME         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","149.50    ","149.50         ","S24   ","S24        "
"243       ","BRIGHT ORANGE                                     ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","149.50    ","149.50         ","S24   ","S24        "
"244       ","ELECTRIC BLUE                                     ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","78.00     ","78.00          ","S24   ","S24        "
"245       ","BARBIE PINK                                       ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","78.00     ","78.00          ","S24   ","S24        "
"246       ","RED                                               ","ST         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"246       ","ROYAL                                             ","ST         ","0         ","1         ","0         ","0         ","0         ","0         ","2         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"246       ","FUCHSIA                                           ","ST         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"246       ","LIGHT BLUE                                        ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"246       ","PINE                                              ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"247       ","BLACK                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"247       ","RED                                               ","ST         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","1         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"247       ","ROYAL                                             ","ST         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"248       ","ROYAL                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","2         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","95.00     ","95.00          ","S24   ","S24        "
"249       ","BLACK                                             ","ST         ","0         ","2         ","1         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","133.00    ","133.00         ","S24   ","S24        "
"249       ","ROYAL                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","133.00    ","133.00         ","S24   ","S24        "
"250       ","RED                                               ","ST         ","0         ","1         ","1         ","1         ","1         ","0         ","1         ","1         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","72.50     ","72.50          ","S24   ","S24        "
"250       ","BLUE CORAL                                        ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","72.50     ","72.50          ","S24   ","S24        "
"251       ","FUCHSIA                                           ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","110.00    ","110.00         ","S24   ","S24        "
"251       ","FRENCH BLUE                                       ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","110.00    ","110.00         ","S24   ","S24        "
"252       ","FRENCH BLUE                                       ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"253       ","SILVER                                            ","ST         ","0         ","1         ","0         ","2         ","0         ","1         ","1         ","2         ","1         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"253       ","PINE                                              ","ST         ","0         ","1         ","0         ","1         ","0         ","0         ","1         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"254       ","BLACK                                             ","ST         ","0         ","0         ","1         ","1         ","1         ","1         ","0         ","1         ","1         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"254       ","SILVER                                            ","ST         ","0         ","0         ","2         ","0         ","1         ","0         ","0         ","0         ","1         ","2         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"255       ","PINK OPAL                                         ","AL         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","129.50    ","129.50         ","S24   ","S24        "
"255       ","ICE BLUE                                          ","AL         ","0         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","129.50    ","129.50         ","S24   ","S24        "
"260       ","OCEAN                                             ","ST         ","0         ","0         ","1         ","0         ","0         ","1         ","1         ","1         ","1         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","75.00     ","75.00          ","S24   ","S24        "
"260       ","PINE                                              ","ST         ","0         ","1         ","0         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","75.00     ","75.00          ","S24   ","S24        "
"261       ","RED                                               ","ST         ","0         ","0         ","1         ","1         ","1         ","0         ","0         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"261       ","DARK LAVENDER                                     ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"263       ","ROYAL                                             ","ME         ","0         ","1         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","149.50    ","149.50         ","S24   ","S24        "
"265       ","FUCHSIA                                           ","BG         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","133.00    ","133.00         ","S24   ","S24        "
"265       ","PINK                                              ","BG         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","133.00    ","133.00         ","S24   ","S24        "
"266       ","ROYAL                                             ","BG         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","188.00    ","188.00         ","S24   ","S24        "
"266       ","LIGHT BLUE                                        ","BG         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","188.00    ","188.00         ","S24   ","S24        "
"269       ","BLACK                                             ","ST         ","0         ","0         ","0         ","1         ","0         ","0         ","1         ","0         ","2         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","73.00     ","73.00          ","S24   ","S24        "
"269       ","ROYAL                                             ","ST         ","0         ","1         ","0         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","73.00     ","73.00          ","S24   ","S24        "
"271       ","BLACK                                             ","ST         ","0         ","3         ","0         ","0         ","0         ","0         ","0         ","3         ","0         ","2         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"271       ","RED                                               ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"271       ","ROYAL                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"273       ","BLACK                                             ","AL         ","0         ","0         ","1         ","1         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","139.50    ","139.50         ","S24   ","S24        "
"274       ","BLACK                                             ","ME         ","0         ","0         ","0         ","2         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","110.00    ","110.00         ","S24   ","S24        "
