Product,Color,Size,Attr 2 Name,Qty Avail Now,Qty WIP,Due WIP
47227,BKM,16,BLACK/MULTI,0.00,0.00,
47227,BKM,18,BLACK/MULTI,0.00,0.00,
47227,BKM,8,BLACK/MULTI,0.00,0.00,
47227,BKM,D0,BLACK/MULTI,0.00,0.00,
47227,NUM,0,NUDE/MULTI,0.00,0.00,
47227,NUM,10,NUDE/MULTI,0.00,0.00,
47227,NUM,12,NUDE/MULTI,0.00,0.00,
47227,NUM,14,NUDE/MULTI,0.00,0.00,
47227,NUM,16,NUDE/MULTI,0.00,0.00,
47227,NUM,2,NUDE/MULTI,0.00,0.00,
47227,NUM,6,NUDE/MULTI,0.00,0.00,
47227,NUM,8,NUDE/MULTI,0.00,0.00,
47227,NUM,D0,NUDE/MULTI,0.00,0.00,
47227,RTQ,10,ROYAL/TURQUOISE,0.00,0.00,
47227,RTQ,12,ROYAL/TURQUOISE,0.00,0.00,
47227,RTQ,14,ROYAL/TURQUOISE,0.00,0.00,
47227,RTQ,16,ROYAL/TURQUOISE,0.00,0.00,
47227,RTQ,D0,ROYAL/TURQUOISE,0.00,0.00,
47227,LLM,0,LILAC/MULTI,0.00,0.00,
47227,LLM,10,LILAC/MULTI,0.00,0.00,
47227,LLM,12,LILAC/MULTI,0.00,0.00,
47227,LLM,14,LILAC/MULTI,0.00,0.00,
47227,LLM,16,LILAC/MULTI,0.00,0.00,
47227,LLM,D0,LILAC/MULTI,0.00,0.00,
47227,BKM,0,BLACK/MULTI,1.00,0.00,
47227,BKM,4,BLACK/MULTI,1.00,0.00,
47227,BKM,6,BLACK/MULTI,1.00,0.00,
47227,NUM,4,NUDE/MULTI,1.00,0.00,
47227,LLM,2,LILAC/MULTI,1.00,0.00,
47227,LLM,4,LILAC/MULTI,1.00,0.00,
47227,LLM,6,LILAC/MULTI,1.00,0.00,
47227,LLM,8,LILAC/MULTI,1.00,0.00,
47227,BKM,2,BLACK/MULTI,2.00,0.00,
47227,RTQ,0,ROYAL/TURQUOISE,2.00,0.00,
47227,RTQ,2,ROYAL/TURQUOISE,2.00,0.00,
47227,RTQ,6,ROYAL/TURQUOISE,2.00,0.00,
47227,RTQ,8,ROYAL/TURQUOISE,3.00,0.00,
47227,RTQ,4,ROYAL/TURQUOISE,4.00,0.00,
47228,NUS,0,NUDE/SILVER,0.00,0.00,
47228,NUS,10,NUDE/SILVER,0.00,0.00,
47228,NUS,12,NUDE/SILVER,0.00,0.00,
47228,NUS,14,NUDE/SILVER,0.00,0.00,
47228,NUS,16,NUDE/SILVER,0.00,0.00,
47228,NUS,2,NUDE/SILVER,0.00,0.00,
47228,NUS,4,NUDE/SILVER,0.00,0.00,
47228,NUS,6,NUDE/SILVER,0.00,0.00,
47228,NUS,8,NUDE/SILVER,0.00,0.00,
47228,NUS,D0,NUDE/SILVER,0.00,0.00,
47229,PEJ,6,PEACOCK/JADE,0.00,12.00,02/16/2026
47229,NEP,2,NEON PINK,0.00,8.00,02/16/2026
47229,NEP,4,NEON PINK,0.00,8.00,02/16/2026
47229,PEJ,2,PEACOCK/JADE,0.00,8.00,02/16/2026
47229,NEP,0,NEON PINK,0.00,7.00,02/16/2026
47229,PEJ,0,PEACOCK/JADE,0.00,6.00,02/16/2026
47229,PEJ,12,PEACOCK/JADE,0.00,6.00,02/16/2026
47229,PEJ,4,PEACOCK/JADE,0.00,6.00,02/16/2026
47229,NEP,10,NEON PINK,0.00,5.00,02/16/2026
47229,NEP,6,NEON PINK,0.00,5.00,02/16/2026
