"STYLE#    ","COLOR                                             ","GROUP ALIKE","OOO       ","OO        ","0         ","2         ","4         ","6         ","8         ","10        ","12        ","14        ","16        ","18        ","20        ","22        ","24        ","26        ","28        ","30        ","32        ","LIST PRICE","ORIG LIST PRICE","SEASON","CURR SEASON"
"4881      ","IVORY-SILVER-MULTI                                ","ST         ","0         ","0         ","0         ","5         ","1         ","1         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","154.00    ","159.00         ","F24   ","F24        "
"4881      ","IVORY-MULTI                                       ","ST         ","0         ","0         ","4         ","1         ","0         ","3         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","154.00    ","159.00         ","F24   ","F24        "
"4900      ","UNICORN (VIOLET)                                  ","SH         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","119.00    ","124.00         ","F24   ","F24        "
"4934      ","BLACK                                             ","SH         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","84.00     ","94.00          ","F24   ","F24        "
"4934      ","RASPBERRY                                         ","SH         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","84.00     ","94.00          ","F24   ","F24        "
"4934      ","DRAGONFLY                                         ","SH         ","0         ","0         ","0         ","1         ","2         ","1         ","1         ","2         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","84.00     ","94.00          ","F24   ","F24        "
"4935      ","WINE                                              ","SH         ","0         ","1         ","2         ","1         ","1         ","1         ","2         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","84.00     ","89.00          ","F24   ","F24        "
"4935      ","DRAGONFLY                                         ","SH         ","0         ","0         ","0         ","1         ","0         ","0         ","1         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","84.00     ","89.00          ","F24   ","F24        "
"4935      ","MIDNIGHT                                          ","SH         ","0         ","2         ","0         ","1         ","0         ","0         ","1         ","2         ","0         ","2         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","84.00     ","89.00          ","F24   ","F24        "
"27099     ","SILVER                                            ","AL         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.00     ","229.00         ","S17   ","S19        "
"27170     ","JADE                                              ","ST         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.00     ","194.00         ","S17   ","S18        "
"27173     ","DUSTY ROSE                                        ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.00     ","210.00         ","S17   ","S19        "
"27481     ","CHARCOAL                                          ","FY         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.50     ","199.00         ","F21   ","F21        "
